entity,description,is_india
MG Capital,A US-based investment firm,0
Sula Vineyards,An Indian winery known for producing wines,1
DM Healthcare,An Indian healthcare conglomerate,1
Ssangyong Motor Company,A South Korean automobile manufacturer,0
ABC News,A US-based news organization,0
Amazon,A US-based multinational e-commerce company,0
Motherson Sumi Systems,An Indian auto parts manufacturer,1
FNXCS,Could not be identified as related to India,0
VHP,Vishwa Hindu Parishad a right-wing Hindu organization in India,1
Sterlite Technologies,An Indian multinational company that focuses on digital networks,1
LetsVenture,An Indian platform for startup investments,1
Yatra Online’s,An Indian online travel agency,1
SC,Supreme Court of India,1
KPMG,A global professional services firm with operations in India,1
Rs 58,Refers to Indian currency (Rupees1
GV Prasad,Co-chairman and CEO of Dr. Reddy's Laboratories in India,1
PSI,Pounds per square inch a unit of pressure not India-specific,0
Nifty Bank,A sectoral index on the National Stock Exchange of India,1
Ayurvedic,Refers to Ayurveda a traditional Indian system of medicine,1
Vodafone India Ltd,Now part of Vodafone Idea a major telecommunications company in India,1
Deutsche Bank,A global financial institution headquartered in Germany,0
BRICS,A group of emerging economies including India,1
DGAD,Directorate General of Anti-Dumping and Allied Duties India,1
MFIs,Microfinance institutions common in India,1
Britain’s,Refers to Britain not India-specific,0
The Oppo Watch,A smartwatch from Oppo not specific to India,0
ROA,Return on Assets a financial metric not specific to India,0
NDA,National Democratic Alliance a political coalition in India,1
Ethereum,A decentralized cryptocurrency not India-specific,0
Bharat-22,An Indian exchange-traded fund,1
LSHTM,London School of Hygiene and Tropical Medicine not India-specific,0
BSH,A global manufacturer of home appliances not specific to India,0
Dena Bank,A former public sector bank in India now merged with Bank of Baroda,1
Trade Infrastructure for Export Scheme,A government initiative to boost India's export infrastructure,1
Mswipe,An Indian financial technology company offering point-of-sale services,1
RITES,An Indian government-owned engineering consultancy company,1
Shree Cement,An Indian cement manufacturing company,1
Emkay Global Financial Services,An Indian financial services company,1
Godrej Industries,A major Indian conglomerate,1
Feds,Refers to the Federal Reserve in the US not India-specific,0
B9 Beverages Inc.,An Indian alcoholic beverage company known for Bira 91,1
FERC,Federal Energy Regulatory Commission in the US,0
Adani,A large Indian conglomerate group,1
Mumbai’s,Refers to Mumbai the financial capital of India,1
SBI Point of Sale,Point of Sale services provided by the State Bank of India,1
FE,Foreign Exchange not India-specific,0
NPM,Net Profit Margin a financial metric not India-specific,0
Park+,An Indian platform for parking and automotive services,1
Wistron,A Taiwanese manufacturer with operations in India,1
EPS,Earnings Per Share a financial metric not India-specific,0
Sahara Group,An Indian conglomerate involved in various sectors,1
Elixir Equities Pvt.,An Indian equity investment firm,1
Lifebuoy,A soap brand from Unilever widely sold in India,1
Sitharaman’s Budget,Refers to the budget presented by India's Finance Minister Nirmala Sitharaman,1
MF,Mutual Fund a common investment vehicle in India,1
NAV,Net Asset Value a financial metric for mutual funds not specific to India,0
BSE Sensex,A benchmark stock index on the Bombay Stock Exchange in India,1
Berkshire’s,Refers to Berkshire Hathaway an American conglomerate,0
CGPL,Coastal Gujarat Power Limited an Indian power company,1
MSFT.O,Stock symbol for Microsoft Corporation a US-based company,0
Enormous Brands,An Indian advertising and branding agency,1
ACMA,Automotive Component Manufacturers Association of India,1
Efes,A Turkish brewery company not related to India,0
OnePlus,A Chinese smartphone manufacturer with a significant presence in India,1
Gmail,A global email service by Google not India-specific,0
HFC,Housing Finance Company common in India's financial sector,1
IMA,Indian Medical Association a national voluntary organization of doctors in India,1
Federation of All India,Refers to a federation in India likely related to trade or business,1
FY14,Fiscal Year 2014 likely in India,1
Wistron Corp.,A Taiwanese manufacturing company with plants in India,1
MD & CIO,Chief Information Officer role not India-specific,0
Emami Cements,An Indian cement manufacturing company,1
Graphite India,An Indian manufacturer of graphite electrodes,1
RSS,Rashtriya Swayamsevak Sangh a right-wing Hindu nationalist organization in India,1
DGCA,Directorate General of Civil Aviation in India,1
SBI Card,A credit card issuer associated with the State Bank of India,1
Apple Inc.,A US-based technology company,0
DXY,US Dollar Index not India-specific,0
Berkshire Hathaway,An American multinational conglomerate,0
GMAS,Global Mobile Awards not specific to India,0
TDSAT,Telecom Disputes Settlement and Appellate Tribunal in India,1
The Singapore Stock Exchange,A stock exchange in Singapore not related to India,0
MFL,Magma Fincorp Limited an Indian financial services company,1
UTI’s,Refers to Unit Trust of India an investment company,1
True North Capital,An Indian private equity firm,1
IAN,Indian Angel Network a platform for angel investing in India,1
VAS Infrastructure,An Indian real estate company,1
BSE Realty,A stock market index tracking real estate companies in India,1
Bitstamp,A cryptocurrency exchange not India-specific,0
Bharat-22,An Indian exchange-traded fund,1
Eko Financial Services,An Indian company offering financial inclusion services,1
Zee Entertainment Enterprises,An Indian media and entertainment company,1
UK’s Unilever,Refers to the British-Dutch multinational consumer goods company,0
IIFCL,India Infrastructure Finance Company Limited,1
GAIL & IOC,Refers to two major Indian energy companies GAIL and Indian Oil Corporation,1
C4IR,Center for the Fourth Industrial Revolution part of a global initiative but includes India,1
CPLY,Could not be identified as India-specific,0
Ford,An American automobile manufacturer with operations in India,0
MOUs,Memorandums of Understanding common in Indian business and government,1
AFP,Agence France-Presse a French news agency,0
The Supreme Court,Refers to the Supreme Court of India,1
Dewan Housing Finance Ltd,A defunct Indian housing finance company,1
The Mi Box,A product from Xiaomi not specific to India,0
Tea,A significant agricultural product in India,1
Wealth Warriors,A financial advisory company in India,1
Zoomcar,An Indian self-drive car rental company,1
NK Singh India,Refers to an Indian economist and bureaucrat,1
CPS,Central Public Sector Enterprises common in India,1
Hazira LNG,An Indian liquefied natural gas terminal,1
AITWA,All India Transporters Welfare Association,1
RKM,Refers to Ramakrishna Mission a Hindu religious and spiritual organization in India,1
SPN’s,Refers to Sony Pictures Networks India,1
Jagruti Securities Ltd.,An Indian financial services company,1
Nifty’s,Refers to Nifty 50 an Indian stock market index,1
Jio TV,A live TV streaming service from Reliance Jio in India,1
Oriental Bank of Commerce,A former public sector bank in India now merged with PNB,1
NSE500,A stock market index on the National Stock Exchange of India,1
U.S. Trade,Refers to US trade policies not specific to India,0
Indian Angel Network,A platform for angel investors in India,1
Alibaba Group Holding Ltd,A Chinese e-commerce giant with presence in India,0
MCX,Multi Commodity Exchange of India,1
SUTTI,Specified Undertaking of the Unit Trust of India,1
Hindalco,An Indian aluminum and copper manufacturing company,1
Dials,Refers to communication but not specific to India,0
Harman,A subsidiary of Samsung focused on audio electronics not India-specific,0
LVMH’s,Refers to LVMH a French multinational luxury goods conglomerate,0
Nifty & Sensex,Two major stock market indices in India,1
DJSI,Dow Jones Sustainability Index not specific to India,0
TVS Motor,An Indian motorcycle manufacturer,1
SBI Bank,Refers to the State Bank of India,1
Mahindra Vehicle Manufacturers,Part of the Indian conglomerate Mahindra Group,1
Zomato Gold,A premium subscription service from Indian food delivery company Zomato,1
Itolizumab,A monoclonal antibody developed by Indian biopharma company Biocon,1
CRL,Clinical Research Laboratory not specific to India,0
NHPS,National Health Protection Scheme part of the Indian government's health programs,1
Mother Dairy,An Indian dairy company,1
Foreign Venture Capital Investors,Refers to foreign investors in India,1
McKinsey,A global management consulting firm with a presence in India,1
Popular Will,Refers to public opinion not specific to India,0
Asia’s,Refers to the continent Asia not specific to India,0
Jaya Shree Textiles,An Indian textile manufacturing company,1
Jawa,A motorcycle brand relaunched in India,1
FPO,Follow-on Public Offering common in Indian stock markets,1
The Bank of England,The central bank of the United Kingdom,0
MoRTH,Ministry of Road Transport and Highways in India,1
LICs,Life Insurance Corporation of India and other insurance companies,1
AB InBev,A Belgian multinational beverage company not India-specific,0
Bajaj Auto,An Indian multinational two-wheeler and three-wheeler manufacturing company,1
Vivo,A Chinese smartphone manufacturer with a significant presence in India,1
Samsung Health Monitor,A health monitoring app from Samsung not specific to India,0
GIFT,Gujarat International Finance Tec-City in India,1
Centres,Refers to Indian government centers or institutions,1
M&A,Mergers and Acquisitions a common business practice not India-specific,0
Mylan,An American pharmaceutical company with significant operations in India,0
IMD,India Meteorological Department,1
Metal,Refers to the metal industry not specific to India,0
Tahiliani Homes,An Indian luxury real estate company,1
Ravindra Rao,An Indian financial expert and commodities strategist,1
ICICI Prudential’s MD & CEO,Refers to the managing director and CEO of ICICI Prudential Life Insurance in India,1
FY23,Fiscal Year 2023 likely in India,1
RNAM,Refers to Reliance Nippon Asset Management in India,1
Pidilite Industries,An Indian adhesives manufacturing company,1
Micron,An American memory and storage manufacturer not India-specific,0
G&W Laboratories,An American pharmaceutical company not related to India,0
GSFC,Gujarat State Fertilizers & Chemicals an Indian government-owned company,1
NPA,Non-Performing Assets a common issue in India's banking sector,1
Anheuser-Busch,A global brewing company not specific to India,0
S&P BSE Sensex,A major stock index on the Bombay Stock Exchange in India,1
One Animation,An animation studio not related to India,0
NSPCC,National Society for the Prevention of Cruelty to Children based in the UK not India-specific,0
2G,Refers to 2nd generation mobile networks widely used in India,1
Ford’s,Refers to Ford Motor Company which has operations in India,0
India Ratings,A credit rating agency in India,1
LinkedIn,A professional networking platform not specific to India,0
LTRO,Long-Term Repo Operations a financial tool used by India's RBI,1
Sony Pictures Networks India,An Indian subsidiary of Sony Corporation,1
Symbiosis Centre for European Studies,An institute under Symbiosis International University in India,1
Ambuja Cements,An Indian cement manufacturing company,1
GNPA,Gross Non-Performing Assets a financial term used in India's banking sector,1
Parx,An Indian clothing brand part of Raymond Group,1
IREO,A real estate developer with projects in India,1
Emaar,A UAE-based real estate company with operations in India,0
The Economic Survey,An annual document released by the Indian government,1
Tenet,Refers to the film Tenet or a principle not India-specific,0
The RBI Monetary Policy Committee,A committee in India responsible for setting the repo rate,1
Omidyar Network India,An impact investment firm focused on India,1
Samco Securities,An Indian discount broker and financial services provider,1
The Birla Academy,An art and cultural institute founded by the Birla family in India,1
Adani’s,Refers to Adani Group a large Indian conglomerate,1
Powell’s,Refers to Jerome Powell Chairman of the US Federal Reserve not India-specific,0
STI,Straits Times Index a stock index in Singapore not related to India,0
iHeartRadio,A US-based internet radio platform,0
CNY,Refers to Chinese Yuan currency not India-specific,0
COAI,Cellular Operators Association of India,1
Andhra/Telangana,Refers to the Indian states of Andhra Pradesh and Telangana,1
HDFC Group,A large Indian financial services conglomerate,1
The Volkswagen Taigun,A car launched by Volkswagen in India,0
Dr. Reddy's Laboratories,An Indian multinational pharmaceutical company,1
GST Council,Goods and Services Tax Council in India,1
G-Secs,Government Securities issued by the Indian government,1
Truebil,An Indian online marketplace for used cars,1
MBI,Management by Objectives a business concept not specific to India,0
Havells,An Indian electrical equipment company,1
CMIE,The Centre for Monitoring Indian Economy,1
Google,An American technology company not specific to India,0
Japan Post,A Japanese postal and financial services company,0
Grindwell Norton,An Indian subsidiary of the global abrasives company Saint-Gobain,1
World Investing,A global investing concept not India-specific,0
IBM,An American multinational technology corporation,0
Volvo,Swedish automotive company with operations in India,0
POMIS,Post Office Monthly Income Scheme offered by Indian postal services,1
OnePlus Nord,A smartphone model from OnePlus popular in India,1
Coca-Cola’s,Refers to the American multinational beverage company with operations in India,0
KYC,Know Your Customer compliance commonly required in India,1
Mercedes Benz India,A luxury automobile brand with a strong presence in India,1
CDC,Centers for Disease Control and Prevention in the US,0
FTP,File Transfer Protocol a technology term not specific to India,0
DMX,A data protocol used in stage lighting not specific to India,0
The Narcotics Control Bureau,The anti-drug law enforcement agency of India,1
BoFA,Bank of America an American multinational investment bank,0
Matrimony.com,An Indian online matchmaking service,1
BIL,Refers to Bhushan Industries Limited in India,1
Mobius,Refers to Mobius Capital Partners not India-specific,0
Nifty Auto,An index that tracks the performance of the auto sector in India,1
Air India Express,An Indian low-cost airline,1
Purchasing Managers’ Index,An economic indicator related to the Indian market,1
Mahindra TUV300,An Indian compact SUV manufactured by Mahindra,1
ISA,International Solar Alliance headquartered in India,1
KPIT Technologies,An Indian technology company,1
Granules,Refers to Granules India Ltd an Indian pharmaceutical company,1
Indian Horlicks,A nutritional drink brand with a strong presence in India,1
Obra-C Badaun Transmission Limited,An Indian infrastructure project,1
Open,Refers to digital banking services in India,1
Franklin Templeton AMC,An American asset management company with a significant presence in India,0
Karnataka CM HD Kumaraswamy,Refers to an Indian politician former Chief Minister of Karnataka,1
IGP,Inspector General of Police a law enforcement rank in India,1
ISRO,Indian Space Research Organisation,1
Eruditus,An Indian edtech company,1
ILO,International Labour Organization not specific to India,0
Airtel,An Indian multinational telecommunications company,1
General Electric,A multinational conglomerate with operations in India,0
QIPs,Qualified Institutional Placements a financial tool used in India,1
Orient Electric,An Indian electrical equipment manufacturer,1
Realty and Metal,Refers to sectors of the Indian stock market,1
Hero MotoCorp Limited,An Indian multinational motorcycle and scooter manufacturer,1
NIFT,National Institute of Fashion Technology in India,1
The US Centre for Disease Control,Refers to the American CDC not specific to India,0
AMWL,A health technology company not specific to India,0
Schaeffler India,The Indian subsidiary of Schaeffler Group a global automotive supplier,1
TPG Growth,An American investment firm with investments in India,0
Ssangyong,A South Korean automotive manufacturer owned by Mahindra India,1
BSE Bankex,A banking index on the Bombay Stock Exchange in India,1
QIP,Qualified Institutional Placement a financial mechanism in India,1
Skyscanner’s,A travel search engine not specific to India,0
Nifty 50,A stock market index on the National Stock Exchange of India,1
TIES,Trade Infrastructure for Export Scheme by the Government of India,1
Merkel’s,Refers to Angela Merkel the former German chancellor not India-specific,0
Consensus,A general term not specific to India,0
Netflix India,The Indian arm of the global streaming service Netflix,1
GSK,GlaxoSmithKline with operations in India,0
AL,Refers to Ashok Leyland an Indian commercial vehicle manufacturer,1
Nokia,The Finnish telecom company with operations in India,0
ICICI Prudential Life Insurance Company,An Indian life insurance company,1
Elliott Group,An American investment management firm not India-specific,0
Life Insurance Corporation,The largest state-owned insurance company in India,1
SLR,Statutory Liquidity Ratio a financial regulation in India,1
Jet Airways,An Indian international airline,1
BS4,Bharat Stage 4 an emission standard in India,1
The Indian Revenue Service Association,A government body in India,1
Sandoz,A global pharmaceutical company with operations in India,0
Adobe,An American software company not India-specific,0
UltraTech Cement,An Indian cement manufacturing company,1
Jawaharlal Nehru Container Terminal,A shipping terminal in India,1
Tata Consultancy Services HCL Technologies,Two major Indian IT services companies,1
Shanghai Composite,A Chinese stock market index not India-specific,0
Axis Capital,An Indian financial services company,1
Sampoorna Seva 2.0,An initiative for services delivery in India,1
Carls Jr.,An American fast-food chain not India-specific,0
FY22,Fiscal Year 2022 in India,1
Metals,Refers to the metal sector in India's stock market,1
Tata Elxsi,An Indian design and technology services provider,1
Durga Puja,A Hindu festival celebrated in India,1
FICCI,Federation of Indian Chambers of Commerce & Industry,1
Birla Cable,An Indian telecommunications cable manufacturing company,1
XML,A markup language for data not specific to India,0
IIP,Index of Industrial Production an economic indicator in India,1
AstraZeneca Pharma India Ltd,The Indian arm of AstraZeneca a pharmaceutical company,1
LNG,Liquefied Natural Gas used widely in India's energy sector,1
The Organization of the Petroleum Exporting Countries,An international organization with indirect relevance to India,0
KreditBee,A fintech platform in India,1
Lok Sabha,The lower house of India's Parliament,1
UPSI,Unpublished Price Sensitive Information a financial regulation term in India,1
IndusInd Bank,A private sector bank in India,1
NK Industries,An Indian agro-based company,1
The National Capital,Refers to New Delhi the capital of India,1
SSP,Senior Superintendent of Police a law enforcement rank in India,1
Speciality Chemicals,Refers to a sector within India's chemical industry,1
Vindhya Telelinks,An Indian telecommunications cable manufacturing company,1
Vista,Refers to Vista Equity Partners not India-specific,0
Zee Entertainment Enterprises Ltd,An Indian media and entertainment company,1
Vistara,An Indian airline,1
UNU-WIDER,United Nations University World Institute for Development Economics Research not specific to India,0
ICICI Direct,An Indian online brokerage platform,1
Harley Davidson,An American motorcycle company with operations in India,0
Seagate,An American data storage company not specific to India,0
Large Scale Electronics Manufacturing,Refers to electronics manufacturing initiatives in India,1
Droom Credit,An Indian online automobile marketplace with credit services,1
Brooks Automation’s,An American automation company not specific to India,0
Edge,Refers to cutting-edge technology not specific to India,0
FCT,Refers to First Contact Technology not specific to India,0
Jet Airways,An Indian international airline,1
Chrysler Automobiles,An American automobile manufacturer not India-specific,0
HCFC,Hydrochlorofluorocarbons related to environmental regulation in India,1
WeWork,A global co-working space company with operations in India,0
Digital Garage,A Japanese internet services company not India-specific,0
IEA,International Energy Agency not specific to India,0
ACC,An Indian cement company,1
Gamespix,A platform for gaming not specific to India,0
Renew,ReNew Power an Indian renewable energy company,1
Fosun Pharma,Chinese pharmaceutical company with presence in India,0
Atithi,A term meaning guest in India or an Indian hospitality brand,1
ULIPs,Unit Linked Insurance Plans a financial product in India,1
Jio Fiber,An Indian broadband service by Reliance Jio,1
SIP,Systematic Investment Plan an investment method popular in India,1
EESL,Energy Efficiency Services Limited an Indian public sector company,1
Regulatory Commission,Refers to various regulatory commissions in India,1
India Today,An Indian media publication,1
Zoomcar,An Indian car rental company,1
Kintetsu,A Japanese logistics company with no specific Indian ties,0
Apple’s,Refers to Apple Inc. a global tech company with presence in India,0
Monnet Ispat,An Indian steel company,1
IIFL Wealth,An Indian wealth management company,1
CNBC,A global news network with Indian operations,0
Harvard Business School,An American business school with programs in India,0
CSO’s,Civil Society Organizations which are active in India,1
HSM,Hierarchical Storage Management a technology term not specific to India,0
BILs,Refers to bills possibly related to Indian legislation,1
Panasonic,A Japanese electronics company with operations in India,0
Xiaomi’s,Refers to Xiaomi a Chinese electronics company with presence in India,0
IDFC,An Indian financial company,1
Asian Development Bank,An international bank that works with India,0
Metallurgica,Refers to metallurgical industries not specific to India,0
CPI-IW,Consumer Price Index for Industrial Workers an economic indicator in India,1
DCF,Discounted Cash Flow a financial term not specific to India,0
Dalal Street,Refers to the financial hub of Mumbai India,1
ADB’s,Asian Development Bank’s activities in India,0
Tesaro,A global pharmaceutical company not specific to India,0
BigLittleSteps,A program or initiative not specific to India,0
Tata,An Indian multinational conglomerate,1
WPI,Wholesale Price Index an economic indicator in India,1
Vodafone,A British telecommunications company with Indian operations,0
Mindtree,An Indian IT and outsourcing company,1
Heim,A term or company not specific to India,0
Care Ratings,An Indian credit rating agency,1
Mishra Dhatu Nigam,An Indian metallurgical company,1
AIBEA,All India Bank Employees Association,1
Uber,An American ride-hailing company with operations in India,0
HSBC,A British bank with significant presence in India,0
U.N.,United Nations an international organization with activities in India,0
The Harley-Davidson,An American motorcycle manufacturer with operations in India,0
Purplle.com,An Indian online beauty and cosmetics retailer,1
Oracle,An American technology company with a presence in India,0
CDSL,Central Depository Services Limited an Indian depository,1
Trop,May refer to tropical regions or industries not India-specific,0
PES,Power Engineering Services or Professional Employer Services relevant in India,1
Indian H-1B,Refers to the H-1B visa category often used by Indian professionals,1
Redbus,An Indian online bus ticketing platform,1
Mahavir Jayanti,An Indian religious festival,1
Centrum PMS,An Indian portfolio management service,1
Rashtriya Swayamsewak Sangh,A Hindu nationalist organization in India,1
Corporate Education,Refers to education in corporate settings including India,1
Delhi Assembly,The legislative assembly of Delhi India,1
AAA,Triple A refers to top credit rating not specific to India,0
Blackstone,A global investment firm with operations in India,0
Snapchat,A global social media app with Indian users,0
Capital First,An Indian non-banking financial company,1
Oppo Reno 5,Refers to a smartphone from Oppo a Chinese company with sales in India,0
Lakshmi Vilas Bank,An Indian commercial bank,1
BSE Energy,A sector index on the Bombay Stock Exchange,1
FMS,Faculty of Management Studies an Indian business school,1
MitesshThakkar.com,An Indian stock market analysis website,1
DSP Mutual Fund,An Indian mutual fund company,1
KBL,Karnataka Bank Limited an Indian bank,1
Lumax Industries,An Indian automotive lighting company,1
Secmark Consultancy,An Indian financial services consultancy,1
PayPoint,An Indian financial services provider,1
Income Tax,Refers to income tax system in India,1
H&M,A Swedish retail company with stores in India,0
Petroleo Brasileiro SA,A Brazilian petroleum company with no direct Indian connection,0
INA,Indian National Army a historical military force in India,1
Empowered Group of Secretaries,A governmental body in India,1
IST,Indian Standard Time the time zone of India,1
Infrastructure Leasing & Financial Services Ltd,An Indian infrastructure development company,1
NDB,New Development Bank an international bank with India as a member,0
BSE Sensex,A stock market index in India,1
Bandhan Financial Holdings,An Indian financial services company,1
GoAir,An Indian low-cost airline,1
Robinhood,An American stock trading platform with Indian users,0
PNG,Piped Natural Gas relevant to India’s energy sector,1
SFIO,Serious Fraud Investigation Office an Indian agency,1
Renault India’s,Refers to the Indian operations of the French car manufacturer Renault,1
GCPL,Godrej Consumer Products Limited an Indian consumer goods company,1
Zolostays,An Indian co-living space provider,1
Android Auto,A technology from Google with usage in India,0
Total’s,Refers to Total a French oil company with operations in India,0
Kraft Heinz,An American food company with presence in India,0
Torrent Pharma,An Indian pharmaceutical company,1
The Catholic Syrian Bank,An Indian private sector bank,1
Cholamandalam Investment & Finance Company,An Indian financial services company,1
